date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:41	136852/136852	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Mar%202021%2021:09:37%20GMT	https://aquariusspiritus.com/	C:/aquarius/Aquarius-Spiritus/aquariusspiritus.com/index.html	(from )
22:09:41	70/70	---M-Z	200	added ('OK')	text/plain	date:Thu,%2018%20Mar%202021%2021:09:38%20GMT	https://aquariusspiritus.com/robots.txt		(from )
22:09:45	31029/31029	---M--	200	added ('OK')	image/x-icon	date:Thu,%2004%20Mar%202021%2013:50:39%20GMT	https://aquariusspiritus.com//favicon.ico	C:/aquarius/Aquarius-Spiritus/aquariusspiritus.com/favicon.ico	(from https://aquariusspiritus.com/)
22:09:46	1439/1439	---M-Z	200	added ('OK')	application/rss+xml	etag:%227f40cadc6121b5299d717ff538983bcc%22	https://aquariusspiritus.com/feed/	C:/aquarius/Aquarius-Spiritus/aquariusspiritus.com/feed/index.html	(from https://aquariusspiritus.com/)
22:10:04	58200/58200	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20Mar%202021%2000:46:20%20GMT	https://c0.wp.com/c/5.7/wp-includes/css/dist/block-library/style.min.css	C:/aquarius/Aquarius-Spiritus/c0.wp.com/c/5.7/wp-includes/css/dist/block-library/style.min.css	(from https://aquariusspiritus.com/)
22:11:27	170634/170634	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Feb%202021%2023:11:32%20GMT	https://c0.wp.com/p/woocommerce/5.1.0/packages/woocommerce-blocks/build/style.css	C:/aquarius/Aquarius-Spiritus/c0.wp.com/p/woocommerce/5.1.0/packages/woocommerce-blocks/build/style.css	(from https://aquariusspiritus.com/)
22:11:48	20766/20766	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jan%202020%2023:47:34%20GMT	https://aquariusspiritus.com/wp-content/plugins/spoontalk-social-media-icons-widget/inc/css/font-awesome-4.0.3/css/font-awesome.min.css?ver=5.7	C:/aquarius/Aquarius-Spiritus/aquariusspiritus.com/wp-content/plugins/spoontalk-social-media-icons-widget/inc/css/font-awesome-4.0.3/css/font-awesome.mine23c.css	(from https://aquariusspiritus.com/)
22:12:05	126149/126149	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jan%202020%2023:47:35%20GMT	https://aquariusspiritus.com/wp-content/plugins/spoontalk-social-media-icons-widget/inc/css/hover.css?ver=5.7	C:/aquarius/Aquarius-Spiritus/aquariusspiritus.com/wp-content/plugins/spoontalk-social-media-icons-widget/inc/css/hovere23c.css	(from https://aquariusspiritus.com/)
22:12:47	17925/17925	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Feb%202021%2023:11:32%20GMT	https://c0.wp.com/p/woocommerce/5.1.0/assets/css/woocommerce-layout.css	C:/aquarius/Aquarius-Spiritus/c0.wp.com/p/woocommerce/5.1.0/assets/css/woocommerce-layout.css	(from https://aquariusspiritus.com/)
22:12:50	7043/7043	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Feb%202021%2023:11:32%20GMT	https://c0.wp.com/p/woocommerce/5.1.0/assets/css/woocommerce-smallscreen.css	C:/aquarius/Aquarius-Spiritus/c0.wp.com/p/woocommerce/5.1.0/assets/css/woocommerce-smallscreen.css	(from https://aquariusspiritus.com/)
